====================
post_office  |  Shin-Matsudo Post Office
school  |  東大柏
restaurant  |  ゼルビアキッチン
cafe  |  珈琲館
atm  |  MUFG Bank
fuel  |  Idemitsu
fuel  |  ENEOS
fuel  |  ENEOS
fuel  |  ENEOS
fast_food  |  松屋
fuel  |  ENEOS
fuel  |  Shell
cafe  |  スターバックス
fuel  |  Esso
fuel  |  出光・宇佐美
fuel  |  Shell
cafe  |  群一パン
fast_food  |  餃子の王将
fuel  |  Shell
fuel  |  ENEOS
fuel  |  ENEOS
fuel  |  JOMO
fuel  |  ENEOS
fuel  |  ENEOS
cafe  |  mimiLotus tea shop
fast_food  |  ちよだ鮨
bank  |  湘南信用金庫鎌倉営業部
pharmacy  |  ソニア調剤薬局
dentist  |  木典歯科医院
doctors  |  橋本クリニック
place_of_worship  |  日本基督教団鎌倉教会
gallery  |  Atrie gallery AKI
post_office  |  鎌倉材木座郵便局
atm  |  ゆうちょ銀行
pub  |  ZaiAN
place_of_worship  |  英勝寺 (Eishōji Temple)
parking  |  市川PA
fuel  |  ENEOS
atm  |  ゆうちょ
atm  |  京葉銀行
atm  |  千葉銀行
restaurant  |  イタリア料理オリーブ畑
hospital  |  鎌取セントラルクリニック
pharmacy  |  カワチ薬品 (Cawachi)
school  |  予備校ARROWS
school  |  予備校IE
hospital  |  徳田歯科
restaurant  |  釜あげスパゲティ五右衛門
restaurant  |  彩
hospital  |  緑区役所前矯正歯科クリニック
atm  |  三井住友銀行
hospital  |  鎌取皮膚科
bank  |  千葉銀行
restaurant  |  かつ波奈
restaurant  |  とんでん
pharmacy  |  若菜薬局
fast_food  |  くら寿司
fuel  |  出光
fast_food  |  マクドナルド
parking  |  takasaka SA
doctors  |  すえひろ接骨院
pharmacy  |  南町薬局
school  |  千葉県生実学校
restaurant  |  焼肉くろべこ屋
cafe  |  茶緒
doctors  |  ほたか整形外科
restaurant  |  やきにく屋
hospital  |  みや針灸整骨院
hospital  |  おゆみの歯科
police  |  千葉南
restaurant  |  創作寿司 一幸
hospital  |  753歯科
townhall  |  千葉県森林センター
hospital  |  中央林間病院 (Chuo-Rinkan Hospital)
bank  |  横浜銀行
pharmacy  |  ペンギン薬局
pharmacy  |  セイジョー
pub  |  魚民
pub  |  山内農場
restaurant  |  欧風台所ラパレット (la palette)
fuel  |  ENEOS
restaurant  |  ちゃんこ江戸沢
school  |  しおのめ研修塾
doctors  |  かたい歯科医院
doctors  |  ちはら台動物病院
hospital  |  まつのカイロプラテック
pharmacy  |  つるはドラッグ
dentist  |  おがわ歯科医院
hospital  |  鈴木脳神経外科クリニック
hospital  |  おゆみの眼科クリニック
fast_food  |  マクドナルド
restaurant  |  和食 夢庵
restaurant  |  サイゼリヤ
restaurant  |  ガスト
public_building  |  JA
place_of_worship  |  白旗神社
post_office  |  市津郵便局
fire_station  |  市津消防署
fast_food  |  マクドナルド
hospital  |  帝京市原接骨院
school  |  チャイルド自由学園
restaurant  |  博多うどん
fast_food  |  やきとり
barbar  |  ヘアカットＫ＆Ｋ
restaurant  |  珍来
restaurant  |  焼肉　飛燕
restaurant  |  大京
townhall  |  千葉市緑保健福祉センター
crematorium  |  千葉市斎場
fuel  |  エッソ　大宮インターチェンジＳＳ
restaurant  |  やきとり月見草
restaurant  |  山田うどん
fast_food  |  マクドナルド
parking  |  公園駐車場
hospital  |  おゆみの針灸院
restaurant  |  らーめん琉神
restaurant  |  皇帝
restaurant  |  牛角
doctors  |  東雲本山医院
dentist  |  吉野歯科
kindergarten  |  かるがも保育園
hospital  |  むらた歯科医院
doctors  |  みどりクリニック
hospital  |  細貝歯科クリニック
hospital  |  おゆみの眼科
fuel  |  ENEOS
toilets  |  西トイレ
restaurant  |  すしおんど
fast_food  |  すき屋
pharmacy  |  つるはドラッグ
restaurant  |  赤門
restaurant  |  バーミアン
restaurant  |  回転寿司やまと
hospital  |  さくら歯科クリニック
hospital  |  松下整骨院
pharmacy  |  すずらん薬局
hospital  |  さとう歯科
cafe  |  ドトールコーヒーショップ
doctors  |  小池皮膚科
pharmacy  |  新生薬局
kindergarten  |  はなみずき幼稚園
hospital  |  高村歯科
public_building  |  おゆみのふれあい館
hospital  |  土岐治療院
pharmacy  |  まきのき薬局
pharmacy  |  青空薬局
doctors  |  整形外科
doctors  |  おゆみのクリニック
hospital  |  有吉歯科
hospital  |  おゆみの動物病院
hospital  |  かまとり内科
place_of_worship  |  神明神社
school  |  椎名小学校
place_of_worship  |  富岡長岡寺
public_building  |  椎名公民館
public_building  |  JA
taxi  |  鹿野タクシー
restaurant  |  回転寿司、活鮮
fast_food  |  吉野家
restaurant  |  かずさ屋
fast_food  |  やきとり屋
fast_food  |  マクドナルド
hospital  |  杉田歯科
hospital  |  菊間整骨院
dentist  |  みやこ歯科
pharmacy  |  マツモトキヨシ
restaurant  |  丸亀製麺
restaurant  |  ココス
restaurant  |  ロイヤルホスト
veterinary  |  蘇我動物病院
doctors  |  松石内科医院
doctors  |  島崎接骨院
doctors  |  上野整骨院
public_building  |  千葉県水道局
doctors  |  岩瀬整骨院
public_building  |  東京ガス
public_building  |  宮崎クラブ
hospital  |  斉藤歯科
bank  |  京葉銀行
hospital  |  くれよん小児歯科
fuel  |  Dr. Drive
restaurant  |  吉野寿司
hospital  |  岡本外科
hospital  |  松ヶ丘治療院 指圧とマッサージ
public_building  |  第一自動車教習所
restaurant  |  ままや
restaurant  |  焼肉炭屋
hospital  |  国分クリニック
restaurant  |  ラーメン
fuel  |  千代田エネルギー
fast_food  |  マクドナルド
school  |  千葉県立浦安南高等学校
university  |  了徳寺大学
school  |  浦安市立高洲北小学校
fast_food  |  ファーストキッチン
fast_food  |  マクドナルド
fuel  |  Shell
fast_food  |  マクドナルド
fuel  |  Cosmo
fuel  |  Shell
fuel  |  ENEOS
fuel  |  ENEOS
fast_food  |  モスバーガー
fast_food  |  すき家
fuel  |  Esso
fuel  |  ENEOS
fuel  |  IDEMITSU
restaurant  |  華屋与平衛
fast_food  |  マクドナルド
fast_food  |  マクドナルド
fuel  |  出光
restaurant  |  洋麺屋五右衛門
fast_food  |  モスバーガー
restaurant  |  Saizeria
fast_food  |  松屋
fast_food  |  CoCo壱番屋
fast_food  |  Coco壱番屋
bank  |  飯能信用金庫
fuel  |  コスモ石油
fuel  |  ESSO
fast_food  |  マクドナルド
fuel  |  ENEOS
fuel  |  出光
fuel  |  昭和シェル 厚木妻田SS
restaurant  |  バーミヤン
fuel  |  ESSO
restaurant  |  ジョリーパスタ
restaurant  |  夢庵 厚木林店
fast_food  |  すき家
restaurant  |  サイゼリヤ
dentist  |  厚木金田歯科クリニック
fuel  |  ENEOS 厚木及川SS
cafe  |  スターバックス
fuel  |  昭和シェル
fast_food  |  すき家
fuel  |  ENEOS
fast_food  |  マクドナルド
police  |  妻田交番
fast_food  |  マクドナルド 妻田店
restaurant  |  ガスト
fuel  |  出光
fuel  |  出光
fuel  |  ENEOS
fuel  |  ENEOS
police  |  津久井警察署
fuel  |  ENEOS
fast_food  |  マクドナルド
fuel  |  ENEOS
fuel  |  Shell
fuel  |  ESSO
restaurant  |  とんかつ れんが亭
fuel  |  出光リテール販売（株） 東京カンパニーポプラ八王子
hospital  |  八王子クリニックビレッジ
restaurant  |  Barmian
fast_food  |  マクドナルド
fast_food  |  Yoshinoya
fuel  |  ENEOS
kindergarten  |  こぐま保育園
fuel  |  ENEOS
restaurant  |  どん亭
restaurant  |  ステーキのどん
cafe  |  ドトールコーヒーショップ
fuel  |  JOMO
fuel  |  ENEOS
restaurant  |  CoCo's
fuel  |  出光
restaurant  |  ガスト
fuel  |  出光
fuel  |  ENEOS
fuel  |  コスモ石油
fast_food  |  Domino's Pizza
fuel  |  ESSO
fuel  |  ENEOS
restaurant  |  魚べい 小手指店
restaurant  |  デニーズ
restaurant  |  Barmian
pharmacy  |  マツモトキヨシ
restaurant  |  じゅうじゅうカルビ
restaurant  |  ガスト
fast_food  |  マクドナルド
fuel  |  出光
restaurant  |  藍屋
fuel  |  ENEOS
fast_food  |  マクドナルド
restaurant  |  デニーズ
restaurant  |  Barmian
restaurant  |  はま寿司
hospital  |  菊名記念病院
fuel  |  ESSO
fuel  |  ENEOS
restaurant  |  グラッチェガーデンズ
fuel  |  出光
fast_food  |  かつや
fuel  |  出光
fuel  |  ENEOS サンリッチ新横浜SS　空地
restaurant  |  ジョナサン 新横浜駅前店
fuel  |  JOMO
fuel  |  JOMO
fuel  |  navi
fast_food  |  ハンバーグ ガスト
restaurant  |  横浜家
fuel  |  出光
restaurant  |  華屋与兵衛
fast_food  |  スシロー
fuel  |  キグナス
fuel  |  出光
fuel  |  Mobil
restaurant  |  ジョナサン
childcare  |  一の橋こどもの家
fast_food  |  マクドナルド
fuel  |  SHELL
fuel  |  JOMO
restaurant  |  デニーズ
fast_food  |  らあめん花月嵐
fuel  |  ENEOS
restaurant  |  BigBoy
school  |  Koyama Driving School
fuel  |  出光
restaurant  |  デニーズ
fuel  |  出光
fuel  |  SHELL
fuel  |  ESSO尾山台SS
fuel  |  ENEOS
fuel  |  SHELLセルフ田園調布SS
restaurant  |  ロイヤルホスト尾山台店
fuel  |  コスモ石油
fuel  |  コスモ石油
restaurant  |  大戸屋
hospital  |  入間ハート病院
atm  |  ゆうちょ銀行
post_office  |  柴崎駅前郵便局
pharmacy  |  マツキヨ (Matsukiyo)
fuel  |  SHELL
school  |  八王子市立第一中学校
fuel  |  出光
restaurant  |  豆腐うかい
fast_food  |  すき家
fuel  |  SHELL
restaurant  |  ロイヤルホスト
restaurant  |  鯉寿司
restaurant  |  華屋与兵衛
bus_station  |  大宮駅西口バスターミナル
restaurant  |  しゃぶしゃぶ日本料理 木曽路
dentist  |  ケン歯科クリニック
place_of_worship  |  稲荷神社
fast_food  |  Wendy'sファーストキッチン
fast_food  |  マクドナルド
cafe  |  Books and Cafe
fast_food  |  マクドナルド
post_box  |  友良ストアー
fast_food  |  松屋
fast_food  |  吉野家
pub  |  浜寅
bank  |  みずほ
fast_food  |  モスバーガー
cafe  |  スターバックスコーヒー
restaurant  |  ロイヤルホスト
restaurant  |  御旦狐
bus_station  |  さいたま新都心西口
fire_station  |  練馬消防署
police  |  練馬警察署
fast_food  |  吉野家
restaurant  |  びっくりドンキー
fuel  |  ESSO
fuel  |  MOBIL
restaurant  |  長崎ちゃんぽん
fast_food  |  マクドナルド
fast_food  |  マクドナルド
fuel  |  SHELL
restaurant  |  サイゼリヤ
fuel  |  Mobil
fuel  |  コスモ石油
pharmacy  |  セイジョー
restaurant  |  伝丸
atm  |  埼玉りそな銀行
fuel  |  ENEOS 神代SS
hospital  |  防衛医大付属病院
restaurant  |  あおもり軒 (Aomori-ken)
izakaya  |  志ん生 (Shinshō)
restaurant  |  千曲 (Chikuma)
atm  |  埼玉りそな銀行
pharmacy  |  いなり薬局
fast_food  |  すき屋
school  |  友愛保育園
cafe  |  スターバックス
pub  |  かしら屋
restaurant  |  力の蔵
bicycle_rental  |  練馬タウンサイクル
fuel  |  JOMO
restaurant  |  オリーブの丘
restaurant  |  味の民芸
restaurant  |  カレーうどん千吉
restaurant  |  ガスト
fuel  |  SHELL
restaurant  |  とんふみ
fuel  |  コスモ石油
fuel  |  コスモ石油 大和つきみ野SS
restaurant  |  びっくりドンキー
restaurant  |  ガスト
fuel  |  SOLATO
fast_food  |  31
fast_food  |  マクドナルド
restaurant  |  夢庵
fast_food  |  松屋
place_of_worship  |  洗足八幡神社
community_centre  |  洗足池児童館 (Senzoku-ike Children's Center)
place_of_worship  |  妙福寺
townhall  |  Ota Branch Office
ferry_terminal  |  山下公園
ferry_terminal  |  赤レンガ倉庫
ferry_terminal  |  みなとみらい ぷかり桟橋
place_of_worship  |  関帝廟
restaurant  |  粥 「喜喜」
cafe  |  自家焙煎珈琲豆 「ルンバミーア」
restaurant  |  ヘンドリックス・カリー・バー
fuel  |  ESSO
restaurant  |  COCO's
restaurant  |  椿屋
restaurant  |  パンだパンダ
restaurant  |  どん亭
hospital  |  東府中病院
fast_food  |  くら寿司
restaurant  |  COCO's
restaurant  |  万龍記
fuel  |  ENEOS
restaurant  |  味の民芸
restaurant  |  Saizeria
fuel  |  ENEOS
fast_food  |  すき家
restaurant  |  えさき
fuel  |  ENEOS
fuel  |  Cosmo
fuel  |  ENEOS
fuel  |  ENEOS
fuel  |  JOMO
fuel  |  JOMO
fuel  |  ENEOS
fuel  |  Mobil
fuel  |  SHELL
restaurant  |  Jonathan's
fuel  |  出光
fuel  |  JOMO
fuel  |  GENERAL
restaurant  |  フォルクス 世田谷代田店
fuel  |  昭和シェル
fuel  |  出光
restaurant  |  バーミヤン
public_building  |  渋谷区立上原社会教育館
place_of_worship  |  日本キリスト教団 代々木上原教会
place_of_worship  |  天理教原宿分教団
restaurant  |  Jolly pasta
fuel  |  SHELL
fuel  |  ゼネラル
fuel  |  Shell
fire_station  |  越谷市消防署谷中分署
fuel  |  JOMO
fuel  |  ENEOS
fast_food  |  マクドナルド
fuel  |  JOMO
fuel  |  Cosmo
restaurant  |  夢庵
restaurant  |  BigBoy
restaurant  |  Saizeria
fuel  |  ENEOS
fire_station  |  越谷市消防署間久里分署
restaurant  |  ガスト
fuel  |  ESSO
cafe  |  Dotor
fuel  |  JOMO
post_office  |  越谷せんげん台郵便局
fuel  |  出光
fast_food  |  マクドナルド
fuel  |  Shell
fuel  |  ENEOS
restaurant  |  CoCo's
fuel  |  ENEOS
fast_food  |  CoCo壱番屋
fast_food  |  マクドナルド
fuel  |  JOMO
restaurant  |  ガスト
fuel  |  ENEOS
restaurant  |  ガスト 春日部小渕店
fuel  |  ESSO
fuel  |  Taiyo
fast_food  |  マクドナルド
fast_food  |  マクドナルド
school  |  春日部東高校
fuel  |  ENEOS
school  |  春日部共栄高校
fuel  |  ENEOS
restaurant  |  Barmian
townhall  |  岩槻区役所
fuel  |  Kygnus
fast_food  |  マクドナルド
fuel  |  Kygnus
fast_food  |  吉野屋
fuel  |  ENEOS
fuel  |  昭和シェル
fuel  |  JOMO
restaurant  |  Barmian
fuel  |  SHELL
fuel  |  Cosmo
fuel  |  ENEOS
restaurant  |  デニーズ
restaurant  |  ガスト
fuel  |  ESSO
pharmacy  |  サンドラッグ
restaurant  |  Coco壱番屋
fountain  |  発信
fountain  |  朝の調べ
hospital  |  東海大学八王子病院
bank  |  みずほ銀行
bank  |  三菱東京UFJ銀行
fast_food  |  マクドナルド
restaurant  |  シディーク
restaurant  |  びっくりドンキー
restaurant  |  エデン
fuel  |  Esso
place_of_worship  |  岡村天満宮(Okamura-Tenmangu)
restaurant  |  狼煙 ラーメン
hospital  |  篠原整体
pharmacy  |  コスモ調剤薬局
taxi  |  飛鳥交通大宮営業所
police  |  警視庁第九方面合同庁舎
fuel  |  ESSO
fuel  |  出光
fuel  |  JOMO
fuel  |  SHELL
post_office  |  調布郵便局
fire_station  |  王子消防署
bank  |  城北信用金庫
college  |  東京成徳学園
restaurant  |  藍屋
fast_food  |  吉野家
townhall  |  北区役所
fuel  |  JOMO
place_of_worship  |  青木葉天満宮
restaurant  |  バーミヤン 北加瀬店
fast_food  |  マクドナルド 新所沢店
restaurant  |  びっくりドンキー
restaurant  |  仙台牛たん焼き辺見
book  |  BOOK OFF
place_of_worship  |  青木山東福寺
fuel  |  ENEOS
fuel  |  出光
fuel  |  JOMO
fuel  |  kygnus
fuel  |  出光
fuel  |  SHELL
fuel  |  ゼネラル
restaurant  |  デニーズ
restaurant  |  デニーズ
restaurant  |  デニーズ
fuel  |  コスモ石油
restaurant  |  デニーズ
public_building  |  国土交通省 牛久沼排水機場
fast_food  |  古久屋
pub  |  龍馬
place_of_worship  |  天照皇大神
place_of_worship  |  浅間神社
place_of_worship  |  熊野神社
fast_food  |  Domino's Pizza
place_of_worship  |  Inari Jinja
fuel  |  Shell
fountain  |  汐入公園
restaurant  |  北海道和食居酒屋「大地の恵み」
fast_food  |  マクドナルド
fast_food  |  マクドナルド 青梅街道新町店
bank  |  SMBC
restaurant  |  ROYAL PALACE
fast_food  |  駄菓子バー
place_of_worship  |  恵比寿神社
cafe  |  YUTIRI NO KUKAN
atm  |  みずほ銀行
veterinary  |  小鳥と小動物の病院
bicycle_parking  |  千葉ニュータウン中央駅北口自転車駐車場
bank  |  京葉銀行 千葉ニュータウン支店
atm  |  千葉銀行
atm  |  Chiba Bank
bank  |  Chiba Kogyo Bank
bank  |  Mitsui Sumitomo Bank, Funabachi Branch, CNT shop
fast_food  |  Gohan Doki
public_building  |  水資源機構千葉用水総合事業所
fuel  |  ENEOS
public_bath  |  銭湯清水湯  (Shimizu-yu)
community_centre  |  成田西児童館前
fast_food  |  マクドナルド
parking  |  Ebina SA
hospital  |  樺島病院
restaurant  |  華屋与兵衛 (Hanaya yohei)
fuel  |  ENEOS
post_office  |  杉並西永福郵便局
fuel  |  ENEOS 羽村ニュータウンSS
fuel  |  オブリステーション青梅ICSS
toilets  |  東京都立目黒区駒場東大前駅公衆便所
fuel  |  ENEOS
fire_station  |  日吉消防出張所 (Hiyoshi Fire Station)
place_of_worship  |  十二神社
fire_station  |  苅宿消防出張所
recycling  |  生活倉庫西所沢店
post_office  |  北加瀬郵便局
restaurant  |  Patissier Inamura Shozo
place_of_worship  |  妙像寺
place_of_worship  |  川通稲荷神社
fuel  |  Esso
post_office  |  二子玉川郵便局 (Futakotamagawa Post Office)
public_bath  |  大和湯
sento  |  岩の湯
restaurant  |  ラーメンきくや
restaurant  |  寿司
place_of_worship  |  蘇我比咩神社
doctors  |  田中整骨院
restaurant  |  日の出食堂
restaurant  |  創作料理西村屋
ferry_terminal  |  桃源台
ferry_terminal  |  箱根町 (Hakonemachi)
ferry_terminal  |  元箱根港
dentist  |  茂木歯科
dentist  |  若菜歯科
restaurant  |  大涌谷スカイレストラン (Owakudani Sky Restaurant)
doctors  |  稲毛バースクリニック
car_rental  |  イーレンタカー
doctors  |  藤村犬猫病院
school  |  若松高校
school  |  若松小学校
school  |  更科小学校富田分校
place_of_worship  |  しんこうじ
public_building  |  千葉市農業交流センター
post_office  |  松戸栄郵便局
restaurant  |  蕎麦　きりばな
place_of_worship  |  東光寺
school  |  小学校
hospital  |  西郡整形外科
karaoke  |  シダックス千葉
hospital  |  忍足眼科
veterinary  |  動物病院
fuel  |  ＥＮＥＯＳ
restaurant  |  カレーハウスCoCo壱番屋
restaurant  |  牛べえ
restaurant  |  ココス
cafe  |  エクセルシオール
post_office  |  東京芝浦郵便局
fast_food  |  すき屋
fast_food  |  吉野家
post_office  |  調布駅前郵便局
public_building  |  新光証券羽田研修センター
cafe  |  コーヒー軽食チェスカ
restaurant  |  大阪すし江戸前すし宝屋
dentist  |  つづき歯科医院
pharmacy  |  まえほり薬局
restaurant  |  謝謝
pharmacy  |  くすりの大鳥居
pub  |  炭火囲炉裏かたりべ
restaurant  |  中国料理五香
cafe  |  カフェ・ベローチェ
restaurant  |  ガスト
cafe  |  ドトールコーヒーショップ
pub  |  なごみ亭
restaurant  |  パーマーストン
restaurant  |  センプリチェ
restaurant  |  マンジャーレ
restaurant  |  とんふみ
police  |  高井戸警察署 泉南交番
post_office  |  小石川郵便局
post_office  |  厚木旭郵便局
bank  |  三菱東京UFJ銀行
library  |  北区立中央図書館
dentist  |  後藤歯科医院
restaurant  |  鶴亀屋
bank  |  みずほ銀行
bank  |  三菱東京UFJ銀行
restaurant  |  中華料理　日新
police  |  成城警察署 祖師ヶ谷大蔵交番
restaurant  |  あみやき亭
fast_food  |  モスバーガー
university  |  東京理科大学
restaurant  |  ロイヤルホスト
restaurant  |  牛しゃぶ　ますだや
bar  |  Drop
pub  |  Grill&Wine RaySam
pub  |  島ダイニング　潮彩
restaurant  |  Le moccot
restaurant  |  琴の富士
pub  |  KUROBA-TEI
restaurant  |  MATOI
restaurant  |  ALBERATA
restaurant  |  とんかつ　おかむら
restaurant  |  Aflo french dining Tribes
restaurant  |  ちゃんこ　黒潮
place_of_worship  |  神楽坂若宮八幡宮
police  |  永福町駅前交番
post_office  |  杉並和泉二郵便局
restaurant  |  中本
police  |  板橋警察署 上板橋駅前交番
bank  |  みずほ銀行 浜田山支店
restaurant  |  ぎょうてん屋
bank  |  三井住友銀行 厚木支店
fast_food  |  東秀 梅ヶ丘店
police  |  明大前駅前交番
fast_food  |  ぎょうてん屋
cafe  |  外苑休憩所
place_of_worship  |  浄土宗大本山 増上寺
place_of_worship  |  芝東照宮
university  |  早稲田大学メディアネットワークセンター
parking  |  早稲田鶴巻町パーキング
post_office  |  早稲田大学前
cafe  |  CAT'S CRADLE
cafe  |  ビレン
restaurant  |  磨ゐ土
fast_food  |  立喰　はせ川
restaurant  |  紅蓮
university  |  大隅記念タワー
fast_food  |  メルシー
place_of_worship  |  白旗神社
cafe  |  風の杜
place_of_worship  |  旗上弁財天社
pub  |  ダンダダン酒場
bank  |  三菱東京UFJ銀行
restaurant  |  七福家
restaurant  |  焼肉　ホドリ
restaurant  |  東京らっきょブラザーズ
pharmacy  |  吉村薬局
restaurant  |  kitchen Old Bazar
post_office  |  厚木旭町五郵便局
bank  |  三菱東京UFJ銀行
restaurant  |  ガスト
doctors  |  きせきレディースクリニック (Kiseki Ladies Clinic)
police  |  本厚木駅前交番
bank  |  三井住友銀行
pharmacy  |  マツモトキヨシ 町田東口店
bank  |  りそな銀行
fast_food  |  マクドナルド 小田急読売ランド駅前店
police  |  読売ランド駅前交番
fast_food  |  マクドナルド
restaurant  |  永福町 大勝軒
cafe  |  スターバックス
police  |  府中警察署 車返団地駐在所
post_office  |  調布仙川郵便局
college  |  至誠会 看護専門学校
post_office  |  成城郵便局
post_office  |  横浜山下町郵便局
doctors  |  中華街医院
place_of_worship  |  横浜華僑基督教会
cafe  |  悟空
restaurant  |  ジョナサン
bank  |  西武信用金庫 浜田山支店
place_of_worship  |  天理教 南豊島分教会
bank  |  みずほ銀行
college  |  町田・デザイン専門学校
place_of_worship  |  鹿島神社
fast_food  |  松屋
pharmacy  |  Welpark
fuel  |  ENEOS
fast_food  |  餃子の王将
cafe  |  ドトールコーヒーショップ
fuel  |  油
restaurant  |  ガスト 厚木恩名店
post_office  |  厚木郵便局
bank  |  静岡銀行 厚木支店
post_office  |  川崎生田郵便局
bank  |  八千代銀行
pharmacy  |  セイムス 岡田店
pharmacy  |  あつぎ調剤薬局
post_office  |  世田谷八幡山郵便局
pharmacy  |  ドラッグセイジョー
bank  |  三井住友銀行
fast_food  |  マクドナルド
place_of_worship  |  カトリック町田教会
place_of_worship  |  南大谷 天神社
doctors  |  玉川学園 土屋クリニック
pharmacy  |  マツモトキヨシ
bank  |  世田谷信用金庫 永福町
post_office  |  町田西郵便局
social_facility  |  老人ホーム 花美郷
social_facility  |  老人ホーム 美郷
place_of_worship  |  エホバの証人の王国会館
pharmacy  |  ウェルパーク 向ヶ丘遊園南口店
post_office  |  海老名中新田郵便局
bicycle_parking  |  葛西駅東口駐輪場
fuel  |  コスモ石油
hospital  |  所沢慈光病院
pharmacy  |  トモズ (Tomod's)
fast_food  |  ミスタードーナツ
place_of_worship  |  浜田山キリスト教会
place_of_worship  |  白山神社
pharmacy  |  ウエルシア (WELCIA)
bank  |  みずほ銀行
police  |  調布警察署狛江交番
police  |  菊野台交番
toilets  |  wpt-2009-06-28T11:20:41Z
police  |  武蔵野警察署吉祥寺駅東口交番
toilets  |  杉並区立 高井戸西公衆便所
place_of_worship  |  第六天神社
restaurant  |  ガスト
hospital  |  東京リバーサイド病院
fuel  |  ENEOS
fuel  |  出光
fuel  |  Shell
fuel  |  ENEOS
fuel  |  JOMO
fuel  |  ENEOS
police  |  緑が丘交番
fuel  |  ENEOS
restaurant  |  デニーズ
place_of_worship  |  カトリック厚木教会
bank  |  みずほ銀行
fuel  |  Shell
fuel  |  出光
post_office  |  杉並永福郵便局
place_of_worship  |  永福寺
place_of_worship  |  八幡神社
place_of_worship  |  カトリック喜多見教会
place_of_worship  |  仙川教会
post_office  |  世田谷北烏山郵便局
toilets  |  富士見丘公衆便所
post_office  |  杉並浜田山郵便局
community_centre  |  杉並区立 浜田山児童館
place_of_worship  |  松林寺
bicycle_parking  |  赤鳥居通り駐輪場
dentist  |  118立教通り歯科
pharmacy  |  佐藤薬局
ferry_terminal  |  猿島桟橋
pharmacy  |  ホンマチ薬局
place_of_worship  |  多聞院
restaurant  |  東秀 烏山西口店
fuel  |  キグナス
pharmacy  |  セイジョー 明大前店
place_of_worship  |  伏見山 正法寺
place_of_worship  |  勝林寺
place_of_worship  |  浄徳寺
place_of_worship  |  延重寺
public_building  |  北沢税務署
police  |  座間警察署相武台前交番
place_of_worship  |  水上山 龍源院
bank  |  きらぼし銀行
fast_food  |  モスバーガー
