====================
getFeatureName(i) getFeatureType(i)
Clark Island | park
IBIS Budget Enfield | building
<noname> | building
Rosedale Reserve | park
Finlaysons Creek | stream
Finlaysons Creek | stream
Coopers Creek | stream
Reservoir Park | park
Ted Mack Civic Park | park
<noname> | building
<noname> | building
Girraween Creek | stream
Domain Creek | stream
Manly Ferry Terminal | building
Gallard Reserve | park
Adler Parade Reserve | park
Hanbury Street Park | park
Brighton Reserve | park
Woolooware Oval | park
Woolooware Golf Course | golf course
Daniel Street Park | park
<noname> | building
<noname> | building
<noname> | beach
Bathurst Street Park | park
Epping Oval | park
Vaucluse House | park
Lyne Park | park
Jannali Oval | park
M.J. Bennett Reserve | park
Lake Parramatta | lake
Tunks Creek | stream
<noname> | stream
<noname> | stream
<noname> | stream
Georges Creek | stream
Waitara Creek | stream
Cooper Park | park
Queens Park | park
Orphan School Creek | stream
<noname> | park
<noname> | stream
<noname> | stream
Berowra Creek | stream
<noname> | stream
<noname> | stream
Physics Lawn | park
Barker Street Carpark | building
Botany Street Carpark | building
Little Salt Pan Creek | stream
Harnett Park | park
Ted Burge Sports Ground | park
<noname> | park
Tambourine Creek | stream
Tannery Creek | stream
Stringybark Creek | stream
Chatswood Reservoir No. 3 | building
Chatswood Reservoir No. 1 | building
Chatswood Reservoir No. 2 | building
Cobblers Beach | beach
Taylor's Creek | stream
Pearce Reserve | park
<noname> | greenspace
Airey Park | park
<noname> | building
<noname> | building
Sugarloaf Creek | stream
Camp Creek | stream
Chatswood Park | park
Scotts Creek | stream
Hornsby Park | park
Moore Park | park
Florence Cotton Bushland Reserve | greenspace
Old Mans Valley Park (proposed) | park
Larool Creek | stream
Greendale Creek | stream
Cromer Park | park
<noname> | park
<noname> | park
Long Reef Beach | beach
Mona Vale Beach | beach
Turimetta Beach | beach
North Narrabeen Beach | beach
Narrabeen Beach | beach
Collaroy Beach | beach
Wentworth Common | park
Eastern Water Quality Control Pond | lake
<noname> | stream
P3 | building
<noname> | stream
Dog Pound Creek | stream
Jimmy Bancks Creek | stream
Old Mans Creek | stream
<noname> | stream
Merrylands Park | park
Freame Park | park
King Park | park
Westfield Parramatta | building
Mays Hill | park
Doyle Ground | park
Old Saleyards Reserve | park
Finlayson Creek | stream
Arthur Phillip Park | park
Observatory Park | greenspace
<noname> | park
Ginger Meggs Park | park
Hornsby Park | park
Hoskins Park | park
<noname> | building
<noname> | building
<noname> | stream
Hassall Park | park
Strathfield Park | park
Oyster Creek | stream
<noname> | lake
Deep Creek | stream
<noname> | park
Datchett Street Reserve | park
Origlass Park | park
Thornton Park | park
Simmons Point Reserve | park
The Zig Zag | park
The Star | building
<noname> | building
<noname> | building
<noname> | building
Pyrmont Bay Park | park
Australian National Maritime Museum | building
SEA LIFE Sydney Aquarium | building
Overseas Passenger Terminal | building
Museum of Contemporary Art | building
Kiewa Place Reserve | park
<noname> | park
Central | building
<noname> | park
<noname> | building
Pullman Sydney Hyde Park | building
Australian Museum | building
St Mary's Cathedral | building
Federal Law Courts | building
Mitchell Library | building
Hyde Park Barracks Museum | building
Worrall Block | building
State Library of New South Wales | building
Parliament of New South Wales | building
The Mint | building
Registrar-General's building | building
Sydney Conservatorium of Music | building
Museum of Applied Arts and Science | building
Sydney Fish Market | building
<noname> | building
<noname> | building
Claudio's Seafood | building
Musumeci Seafoods | building
<noname> | building
<noname> | building
Fisher Library | building
Millard Reserve | park
<noname> | park
<noname> | greenspace
<noname> | park
<noname> | park
Goodsir Street Reserve | park
Hoskins Street Reserve | park
Hurstville Oval | park
Croot Park | park
Thorpe Park | park
<noname> | building
Penshurst Park | park
Flynns Reserve | park
Evatt Park | park
Cathy Freeman Park | park
Allman Park | park
Ashfield Mall | building
Ashfield Park+Ride | building
Ryde Aquatic Leisure Centre | building
Olympic Park | building
South Sydney Junior Leagues Club | building
Issy Wyner Reserve | park
College Street Playground | park
<noname> | greenspace
Burwood Plaza | building
Westfield Burwood | building
IGA | building
Willow Park | park
<noname> | building
<noname> | building
Cooinoo Reserve | park
Jackson Park | park
Sando Reserve | park
Flockhart Park | park
Brown's Reserve | park
Whiddon Reserve | park
Walsh Avenue Reserve | park
Waradiel Creek | stream
Emerson Park | park
Meade Park | park
Shrimptons Creek | stream
Bell Park | park
Grosvenor Tavistock Reserve | park
Taunton Reserve | park
<noname> | beach
Church Street Native Flora Reserve | park
Dover Park | park
Stuart Park | park
Terry Street Reserve | park
Connells Point Reserve | park
Kyle Williams Recreational Reserve | greenspace
<noname> | lake
<noname> | park
Brenan Park | park
Chullora Marketplace | building
Curran Park | park
Auburn Park | park
Grove Park | park
McRaes Park | park
Myles Dunphy Bushland Reserve | greenspace
Olds Park | park
Boundary Reserve | park
Max Ruddock Reserve | park
Bidjigal Reserve | greenspace
North Rocks Shopping Centre | building
Rainbow Farm Reserve | park
Leonard Reserve | park
Kingsdene Oval | park
John Wearn Reserve | park
Burnside Gollan Reserve | park
Parklea Markets | building
Harold Bull Reserve | park
Hunt Park | park
Jubilee Reserve | park
Peel Park | park
Turramurra Memorial Park | park
Karuah Oval | park
Ryde Park | park
Northbridge Plaza | building
<noname> | greenspace
Artarmon Reserve | park
South Park | park
<noname> | park
<noname> | lake
<noname> | lake
<noname> | lake
Robert Dunn Reserve | park
Kitchener Park | park
<noname> | stream
<noname> | stream
Warriewood Wetlands | greenspace
Warriewood Square Shopping Centre | building
<noname> | building
Fern Creek | stream
Northern Beaches Indoor Sports Centre | building
Dee Why Children's Centre | building
Breakfast Point Village Green | park
Stringybark Creek | stream
Stringybark Reserve | greenspace
Brownlee Reserve | park
<noname> | park
Miklouho-Maclay Park | park
Quaycentre | building
Phillips Park | park
<noname> | stream
<noname> | park
Turimetta Headland Reserve | greenspace
Ivanhoe Park | park
Miller Reserve | park
Poppy Park Forestville | park
<noname> | greenspace
Mullet Creek | stream
Dewrang Reserve | greenspace
<noname> | greenspace
Alleyne Avenue Lookout Reserve | greenspace
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
Porters Creek | stream
Johnstons Creek | stream
Gunnamatta Park | park
Cronulla Park | park
Cronulla Beach | beach
Dunningham Park | park
Cronulla Golf Course | golf course
<noname> | building
<noname> | building
<noname> | building
Westfield Chatswood Albert Avenue car park | building
Mandarin Centre | building
Pennant Hills Golf Course | golf course
David Thomas Playing Fields | park
Nolan Reserve | park
Graham Reserve | park
Manly West Park | park
<noname> | park
<noname> | park
Oakleigh Park | park
Headen Park | park
Little Street Public Car Park | building
<noname> | stream
Jenola Hockey Fields | park
<noname> | park
Westfield Miranda | building
Miranda Park | park
Parkside Plaza | building
Burraneer Park | park
<noname> | park
Reservoir | building
Robin Place Reserve | park
Breen Park | park
Australia Post | building
<noname> | building
<noname> | building
Sunnyside Reserve | park
Solander Playing Fields | park
Sharkies Leagues Club | building
Beauford Avenue Reserve | park
<noname> | park
<noname> | park
<noname> | lake
<noname> | stream
Bridgehill Residences | building
<noname> | greenspace
Wonga Road Reserve | park
Mansion Point Reserve | park
Grays Point Oval | park
Maandowie Creek | stream
Toongabbie Creek | stream
Toongabbie Creek | stream
Clontarf Beach | beach
Fairlight Beach | beach
Delwood Beach | beach
East Manly Cove Beach | beach
Forty Baskets | beach
Washaway Beach | beach
Alison Park | park
QEII Grandstand | building
<noname> | building
Royal Randwick Shopping Centre | building
Randwick Plaza | building
<noname> | building
Alexandria Childcare Centre | building
Xplorer-Endeavour Service Centre | building
Goninan OSCAR Presentation Centre | building
<noname> | building
Carlingford Village | building
<noname> | park
St Paul's Anglican Church Carlingford | building
Bunnings Warehouse | building
Carlingford Memorial Park | park
Cox Park | park
Boronia Park | park
Ewey Creek Reserve | park
<noname> | greenspace
Five Mile Creek | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Deep Creek | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Trefoil Creek | stream
<noname> | stream
Middle Creek | stream
Oxford Creek | stream
Middle Creek | stream
<noname> | stream
<noname> | stream
Middle Harbour Creek | stream
Fireclay Gully | stream
Bare Creek | stream
Box Road Reserve | park
Sylvania Heights Community & Youth Club | building
Gwawley Creek | stream
Southgate Shopping Centre | building
Canberra Road Reserve | park
Powells Creek Tennis Club | building
30 Alfred Street | building
Charles Reserve | park
Colindia Reserve | park
Wrixton Park | park
<noname> | stream
Miss Gladys Carey Reserve | park
Lady Gowrie Lookout | park
John Mountford Reserve | park
Roseanne Reserve | park
Roselands Shopping Centre | building
Roselands Aquatic Centre | park
<noname> | building
Wiley Park Reservoir (Elevated) | building
<noname> | building
Bennett Park | park
Richard Podmore Reserve | park
<noname> | park
Wise Reserve | park
Rotary Park | park
Robert Gardener Reserve | park
<noname> | park
Rotary Park | park
Peakhurst Park | park
Pearce Avenue Reserve | park
Riverwood Plaza | building
Riverwood Park | park
<noname> | greenspace
<noname> | park
Henry Lawson Drive Reserve | park
Salt Pan Creek Reserve | park
McLaughlin Oval | park
<noname> | stream
George Cayley Reserve | park
<noname> | park
Punchbowl Park | park
Arthur Park | park
Dorothy Park | park
Roberts Park | park
Denistone Park | park
<noname> | park
Scott Park | park
<noname> | stream
<noname> | stream
<noname> | lake
Stuart Street Reserve | park
<noname> | building
Playford Park | park
Galaringi Reserve | greenspace
Acacia Park | park
Sturt Park | park
<noname> | greenspace
Tracey Reserve | park
Barbara Reserve | park
Glen Street Theatre | building
Hews Reserve | park
Frenchs Creek | stream
Revesby Flood Reserve | greenspace
<noname> | building
Bankstown City Sports Complex | park
<noname> | building
Beatham Reserve | park
<noname> | park
Lane Cove Lake | lake
Excelsior Creek | stream
Ashcroft Reserve | park
<noname> | building
Bankstown Basketball Stadium | building
Milperra Reservoir | building
Manahan Reserve | park
Rotary Park | park
Kimberley Park | park
Grace Reserve | park
<noname> | park
Allison Reserve | park
Wattawa Reserve | park
Buffalo Creek Reserve | park
<noname> | park
Ruse Park | park
Ruse Park | park
Salt Pan Creek | stream
Bankstown Oval | park
Reserve 621 | park
Bankstown Memorial Park | park
Stevens Reserve | park
Bankstown Central | building
Apex Reserve | park
Thella Reserve | park
Treuer Reserve | park
Colechin Reserve | park
Cantrell Reserve | park
Marion Reserve | park
Reliance Reserve | park
Brickpit Park | park
Sefton Golf Course | golf course
University Clinics | building
Westmead Centre for Dental Health (Oral) | building
Clifford Tower | building
Nurses Residence | building
Kress Building | building
<noname> | building
Jacaranda Lodge | building
Fox Valley Community Centre | building
Information Services | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Exhibition Centre | building
Harbourside Shopping Centre | building
Wahroonga Reservoir No.3 | building
Wahroonga Reservoir No.1 | building
<noname> | building
Gillman Reserve | park
Crest Park | park
Dunc Gray Velodrome | building
<noname> | building
Neville Reserve | park
Thornton Reserve | park
Tucker Reserve | park
Louisa Reserve | park
McLean Reserve | park
Manuka Reserve | park
Carysfield Park | park
Sutcliffe Reserve | park
Landsdowne Park | park
Bass Hill Plaza | building
Arthur Laundy Reserve | park
<noname> | park
Whitemore Reserve | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Hornsby Maintenance Centre | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Leighton Place Café | building
<noname> | building
<noname> | building
<noname> | building
Clark Equipment Sales | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Asquith Vet | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Coles | building
Hornsby Bowling Club & PCYC | building
<noname> | building
<noname> | building
Bunnings Warehouse | building
<noname> | building
<noname> | building
E3A | building
E6B | building
E6A | building
E5A | building
75T | building
F9C | building
F9B | building
Avaya House | building
<noname> | building
Memjet Australia | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Macquarie Intellicentre 2 Data Centre | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Fujitsu North Ryde Data Centre | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
CSIRO | building
Ryde Council, Building 0 | building
Pronto, building 1 | building
Oracle | building
Datacom | building
Fujitsu House | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Opera Quays | building
Pullman Quay Grand Sydney | building
Novotel Rockford Darling Harbour | building
Amaroo Reserve | park
Harden Reserve | park
<noname> | building
Reserve 612 | park
Toby Reserve | park
Horsley Reserve | park
Johnstone Reserve | park
Pavillion | building
Amour Park | park
Lindfield Village Green | park
Rooty Hill Leisure Centre | building
Gordon Creek | stream
<noname> | stream
<noname> | stream
Moores Creek | stream
<noname> | stream
<noname> | stream
<noname> | building
<noname> | lake
Kelso Park North Sporting Complex | park
<noname> | building
<noname> | lake
Kelso Creek | stream
Cammarlie Reserve | park
<noname> | park
Steelstone | building
Warehouse | building
Refractory Store | building
<noname> | building
Main Store | building
Bag House | building
Rolling Mill | building
<noname> | building
Melt Shop | building
Billet Yard | building
Water Treatment Plant | building
<noname> | building
<noname> | building
Storage Yard | building
Rolling Mill Office | building
<noname> | lake
Scrap Yard | building
Admin Office | building
Taylor Reserve | park
Panania Reservoir | building
<noname> | building
YMCA | building
Woolworths | building
<noname> | park
<noname> | park
The Wrigley Company | building
Talus Reserve | greenspace
<noname> | park
Paul Calderon Reserve | park
Padstow Park | park
Cutting Reserve | park
Clarke Reserve | park
Padstow RSL | building
Fox Reserve | park
Montgomery Reserve | park
Virginius Reserve | park
East Hills Elevated Reservoir | building
Richardson Reserve | park
<noname> | greenspace
<noname> | greenspace
<noname> | greenspace
Bill Delauney Reserve | park
<noname> | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Hornsby Scrap Metal | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Kennards Self Storage | building
Carriageworks | building
Ashfield Council | building
<noname> | park
East Hills Park | park
<noname> | stream
Monash Reserve | park
Duke Park | park
Lambeth Reserve | park
Phillip Park | park
Morgans Creek | stream
<noname> | greenspace
Deepwater Park | park
<noname> | park
<noname> | park
<noname> | stream
<noname> | stream
Deepwater Motor Boat Club | building
<noname> | greenspace
Milperra Sports Centre | park
<noname> | greenspace
Newland Reserve | park
<noname> | park
Australia Post Head Office | building
Johnstons Creek | stream
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Mount Lewis Park | park
Cooks River | stream
<noname> | building
<noname> | building
Loco Workshop | building
<noname> | building
eBest Pty Ltd | building
Regents Park Industrial Estate Block G | building
Regents Park Industrial Estate Block L | building
Regents Park Industrial Estate Block S | building
Regents Park Industrial Estate Block Q | building
Regents Park Industrial Estate Block N | building
Regents Park Industrial Estate Block T | building
Regents Park Industrial Estate Block V | building
Regents Park Industrial Estate Block E | building
Regents Park Industrial Estate Block U | building
Regents Park Industrial Estate Block C | building
Regents Park Industrial Estate Block R | building
Regents Park Industrial Estate Block D | building
<noname> | building
<noname> | lake
William Wade Park | park
Greenacre Civic Centre Reserve | park
Bromley Reserve | park
Red Hill Reserve | park
Duck River | stream
34 Airds Road | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Phillips Park | park
Winsor Park | park
Potts Hill Reservoir No. 1 | lake
Potts Hill Reservoir No. 2 | building
Marlene Reserve | park
Voyager Point Wetland | greenspace
<noname> | building
<noname> | building
Westfield Liverpool | building
Storey Park | park
Henry Lawson Park | park
Werrell Reserve | park
Rydalmere Park | park
John Carver Reserve | park
Quarry Creek | stream
<noname> | stream
West Ryde Marketplace | building
Gladesville Shopping Centre | building
Lake Francis | lake
<noname> | beach
<noname> | beach
Roland Reserve | park
<noname> | park
Bridge Point Shopping Centre | building
Liverpool Catholic Club | building
Powell Park | park
Ngaku Island | park
Ngamba Island | park
Woolworths | building
Turramurra Village Park | park
Grosvenor Place | building
IBM Building | building
Australia Square | building
<noname> | building
Esther Abrahams Pavilion | building
<noname> | building
Surry Hills Shopping Village (Closed since Feb 2021) | building
<noname> | greenspace
<noname> | greenspace
Biochemistry & Microbiology | building
<noname> | park
Paringa Reserve | park
Elkington Park | park
Forbes Creek | stream
<noname> | stream
<noname> | stream
<noname> | greenspace
<noname> | stream
<noname> | stream
Warringa Park | park
Woolworths | building
Hamilton Park | park
<noname> | greenspace
<noname> | greenspace
<noname> | greenspace
<noname> | stream
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
St John's Church Grounds | park
Newtown Neighbourhood Centre | building
The Hub | building
Kensington Park | park
Bruce Park | park
Karuah Park | park
<noname> | stream
<noname> | stream
Cherrybrook Lakes | park
<noname> | lake
<noname> | lake
Hunts Creek | stream
<noname> | building
Building 2 | building
Chatswood Chase Shopping Centre | building
<noname> | building
Woodville Reserve | park
Art Barton Park | park
Coogee Beach | beach
Breakfast Creek | stream
Albert Parade Reserve | park
<noname> | building
<noname> | building
<noname> | building
Dawn Fraser Baths | lake
<noname> | building
<noname> | stream
<noname> | lake
Carrington Street Playground | park
Rag and Famish Hotel | building
Bankstown Sports Club | building
Liberty Reserve | park
Phillips Street Playground | park
Anderson Park | park
<noname> | park
Forsyth Park Community Centre | building
Watt Park | park
Plumpton Marketplace | building
<noname> | building
Corbin Reserve | park
Lover's Jump Creek | stream
Spring Gully Creek | stream
<noname> | park
Waitara Creek | stream
Waitara Creek | stream
Terrys Creek | stream
<noname> | building
Bunnings Warehouse | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Dematic | building
<noname> | building
<noname> | building
Harvey Norman | building
<noname> | building
Kensington POSTshop | building
Planet X Youth Centre | building
<noname> | building
Countess Park | park
<noname> | park
Robin Hood Park | park
Ros Crichton Pavilion | building
North Sydney Council Chambers | building
<noname> | beach
<noname> | greenspace
Alfred Street North Park | park
<noname> | park
Lawson Square | park
Morris Street Park | park
Warren Try Reserve | park
<noname> | building
The Quadrant | building
St Peter's Park | park
Ponds Creek Reserve | greenspace
Exhibition Hall 1 (The Dome) | building
<noname> | building
D White Pavilion | building
Downes Pavilion | building
Munro Pavilion | building
L Kelly Pavilion | building
Jarko Pavilion | building
Falkinar Pavilion | building
I Mackay Pavilion | building
Grace Pavilion | building
J Horse Marshalling | building
Exhibition Hall 2 (Ross Pavilion) | building
Exhibition Hall 3 (Binnie Pavilion) | building
Exhibition Hall 4 (Buring Pavilion) | building
G Murchison Pavilion | building
The Stables | building
McIntosh Pavilion | building
B Paddington Pavilion | building
Sports Halls | building
Monster Skate Park | building
Exhibition Halls 5 and 6 (Southee Complex) | building
Dorris Fitton Park | park
Bexley Swimming Centre | building
Bardwell Creek | stream
<noname> | park
Italian Forum | building
<noname> | building
Elliott Reserve | park
<noname> | stream
<noname> | stream
Tucker Reserve | park
1st North Sydney Scouts | building
Mary French Reserve | park
Hopkins Park | park
Lord Street Road Reserve | park
<noname> | park
<noname> | building
Double Bay Beach | beach
Belmore Park | park
<noname> | park
Royal Hall of Industries | building
Hordern Pavilion | building
Duff Street Reserve | park
The Lookout | park
<noname> | building
<noname> | building
<noname> | building
<noname> | lake
Wire Mill Reserve | park
<noname> | park
Avanti Apartments | building
Hornsby Inn | building
Terry Hills Par 3 | golf course
<noname> | building
<noname> | building
Tye Park | park
<noname> | park
Eccles Park | park
<noname> | park
Euroka Street Playground | park
<noname> | park
<noname> | building
Hinkler Park | park
Georges River | stream
Function Centre | building
Reptile World (Serpentaria) | building
<noname> | park
Louise Lennon Pavilion | building
Qantas Freight Terminal | building
<noname> | park
Sydney Flying Squadron Ltd | building
Squadron Tower | building
Glenferrie Lodge Sydney | building
Caddies Boulevard Lake | lake
<noname> | stream
Queen Victoria Building | building
<noname> | building
<noname> | building
<noname> | building
<noname> | park
<noname> | building
Sydney Harbour Kayaks | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Graythwaite (historic mansion) | building
<noname> | building
Freedom | building
<noname> | building
<noname> | building
Bunnings Warehouse | building
Aldi | building
KFC | building
Dan Murphy's | building
Holmsdale Tower | building
Curl Curl Beach | beach
<noname> | greenspace
<noname> | building
<noname> | building
Lieutenant Cantello Reserve | park
<noname> | stream
<noname> | stream
Ernie Smith Recreation Area | park
St. Matthews Anglican Church | building
Coups Creek | stream
<noname> | park
Northern Suburbs Agricultural and Horticultural Society | building
Coastal Grassland Habitat | greenspace
North Sydney Leagues Club | building
Murray Farm Park | park
North Rocks Park | park
<noname> | stream
Lynelle Park | park
Moore Park | park
Terrys Creek | stream
Art Gallery of New South Wales | building
<noname> | stream
<noname> | stream
<noname> | stream
Kogarah Town Centre | building
North Sydney Olympic Pool (25m pool) | building
City East Zone Substation | building
Maisonette Hotel | building
McMahons Park | park
<noname> | park
Wellings Reserve | greenspace
<noname> | building
<noname> | building
<noname> | greenspace
Balgowlah RSL Club | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Marine Rescue Sydney - Middle Harbour | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Middle Harbour Amatuer Sailing Club | building
Sewage Pumping Station | building
Mosman Rowing Club | building
Mosman Rowing Club | building
International College of Management | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Reid Park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Stuart Mould Park | park
<noname> | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Robey Street Reserve | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | stream
<noname> | stream
Botanic House | building
McDonald's | building
Law Building - F8 | building
Blockhouse - G6 | building
Sam Cracknell Pavillion - H8 | building
Science Theatre - F13 | building
Dalton - F12 | building
Willis Annex - J18 | building
UNSW Business School - E12 | building
Quadrangle - E15 | building
Electrical Engineering | building
<noname> | building
<noname> | building
Sir John Clancy Auditorium - C24 | building
Lowy Cancer Research Centre - C25 | building
Civil Engineering - H20 | building
Central Lecture Block - E19 | building
Mubo Park | park
Irene Park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Gilbanung Wetland | lake
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | park
Heysen Park | park
<noname> | building
<noname> | building
Carslaw Building | building
